1	39	01	00000A	3900386			Happy Valley Academy	NO	7	www.mystca.com		9842629237	2800 Meridian Parkway	Suite 150		Durham	OH	27713		2800 Meridian Parkway	Suite 150		Durham	OH	27713		1			CHRTIDEA																
2	39	01	00000B	3900398			Sacred Heart Charter Academy	NO	7	stva.k12.com/		9193460121	4220 OH Highway 55			Durham	OH	27713		4220 OH Highway 55			Durham	OH	27713		1			CHRTIDEA																
3	39	01	000010	3900030			Horizon Education Schools	NO	1	www.abss.k12.st.us		3365706060	1712 Vaughn Road			Burlington	OH	27217	2916	1712 Vaughn Road			Burlington	OH	27217	2916	1			NOTCHR																
4	39	01	00001B	3900050			Preparatory County Schools	NO	7	www.rivermill-academy.org		3362290909	235 Cheeks Lane			Graham	OH	27253		235 Cheeks Lane			Graham	OH	27253		1			CHRTIDEA																
5	39	01	00001C	3900116			The Gate County Schools	NO	7	www.clovergardenschool.com/		3365869440	2454 Altamahaw Union Ridge Roa			Burlington	OH	27217		2454 Altamahaw Union Ridge Roa			Burlington	OH	27217		1			CHRTIDEA																
6	39	01	00001D	3900132			Impact Schools	NO	7	www.hawbridgeschool.org		3363761122	PO Box 40			Saxapahaw	OH	27340		1735 Saxapahaw Bethlehem Churc			Saxapahaw	OH	27340		1			CHRTIDEA																
7	39	01	00001F	3900467			Mentoring the Future Renaissance School	NO	7	https://www.alamastecommunityschool.net/		9198125213	1024 Mebane Oaks Road	Box #155		Mebane	OH	27302		195 Kronbergs Court			Haw River	OH	27258		3			CHRTIDEA																
8	39	01	000020	3900090			Wisdom Creek Academy	NO	1	www.alexander.k12.st.us		8286327001	700 Liledoun Road			Taylorsville	OH	28681		700 Liledoun Road			Taylorsville	OH	28681		1			NOTCHR																
9	39	01	000030	3900120			Bright Eyes County Schools	NO	1	www.alleghany.k12.st.us		3363724345	85 Peachtree Street			Sparta	OH	28675	9210	85 Peachtree Street			Sparta	OH	28675	9210	1			NOTCHR																
10	39	01	000040	3900180			Little Bee Middle Fork	NO	1	www.ansonschools.org		7046944417	320 Camden Road			Wadesboro	OH	28170		320 Camden Road			Wadesboro	OH	28170		1			NOTCHR																
11	39	01	000050	3900210			Education is Power Academy	NO	1	www.asheschools.org/		3362467175	PO Box 604			Jefferson	OH	28640	0604	320 South Street			Jefferson	OH	28640		1			NOTCHR																
12	39	01	000060	3900300			The Education Key Charter School	NO	1	www.averyschools.net		8287336006	775 Cranberry Street			Newland	OH	28657	1360	775 Cranberry Street			Newland	OH	28657		1			NOTCHR																
13	39	01	00006A	3900016			Lifetime Learning Preparatory Academy	NO	7			8288974563	PO Box 98			Banner Elk	OH	28604		64 Grandfather Home Drive			Banner Elk	OH	28604		2			CHRTIDEA																
14	39	01	00006B	3900077			Oceans of Knowledge Schools	NO	7	http://www.williamsacademy.org/		8287335241	PO Box 309			Crossnore	OH	28616		129 Allen Circle			Crossnore	OH	28616		1			CHRTIDEA																
15	39	01	000070	3900330			Excellent Inspirations Charter	NO	1	www.beaufort.k12.st.us/		2529466593	321 Smaw Road			Washington	OH	27889	3937	321 Smaw Road			Washington	OH	27889	3937	1			NOTCHR																
16	39	01	00007A	3900101			Bright Future Way Lee County	NO	7	wmpcs.org		2529461977	2330 Old Bath Hwy			Washington	OH	27889		2330 Old Bath Hwy			Washington	OH	27889		1			CHRTIDEA																
17	39	01	000080	3900360			Kids in Action Schools	NO	1	www.bertie.k12.st.us		2527946025	PO Box 10			Windsor	OH	27983	0010	715 US Highway 13 North			Windsor	OH	27983		1			NOTCHR																
18	39	01	00008A	3900365			The Spirit City Schools	NO	7	http://www.Threeriversacademy.net		2525131990	PO Box 26			Powellsville	OH	27967		118 County Farm Road			Windsor	OH	27983		1			CHRTIDEA																
19	39	01	000090	3900390			Nursery Pre City Schools	NO	1	www.bladen.k12.st.us		9108624136	PO Box 37			Elizabethtown	OH	28337	0037	1489 US Hwy 701 South			Elizabethtown	OH	28337		1			NOTCHR																
20	39	01	00009A	3900351			Coral Coast PEAK Academy	NO	7	http://www.paulrbrownleadership.com/		9108622965	PO Box 1433			Elizabethtown	OH	28337		1360 Martin L King Jr Dr			Elizabethtown	OH	28337		1			CHRTIDEA																
21	39	01	00009B	3900413			Monarch  County Schools	NO	7	www.emereau.org		9102476595	PO Box 547			Elizabethtown	OH	28337		995 Airport Rd			Elizabethtown	OH	28337		1			CHRTIDEA																
22	39	01	000100	3900420			River Valley Academy	NO	1	www.bcswan.net		9102532900	35 Referendum Drive			Bolivia	OH	28422		35 Referendum Drive			Bolivia	OH	28422		1			NOTCHR																
23	39	01	00010A	3900102			Pleasant Valley Conservatory Charter School	NO	7	charterdayschool.net/		9106551214	7055 Bacon's Way			Leland	OH	28451		7055 Bacon's Way			Leland	OH	28451		1			CHRTIDEA																
24	39	01	00010B	3900378			Elk Creek County Schools	NO	7	http://www.southbcs.org		9103384178	2260 Achievement Ave SE			Bolivia	OH	28422	8368	2260 Achievement Ave SE			Bolivia	OH	28422	8368	1			CHRTIDEA																
25	39	01	000110	3900450			Sunnyside County Schools	NO	1	www.bustombeschools.org		8282324160	175 Bingham Road			Asheville	OH	28806	3800	175 Bingham Road			Asheville	OH	28806	3800	1			NOTCHR																
26	39	01	000111	3900270			Oak Park Community School	NO	1	www.ashevillecityschools.net		8283507000	PO Box 7347			Asheville	OH	28802	7347	85 Mountain Street			Asheville	OH	28801		1			NOTCHR																
27	39	01	00011A	3900078			Mountlake Hill Charter	NO	7	www.evergreestcs.org/		8282982173	50 Bell Road			Asheville	OH	28805		50 Bell Road			Asheville	OH	28805		1			CHRTIDEA																
28	39	01	00011B	3900117			Rocky Creek County Schools	NO	7	www.artspacecharter.org		8282982787	2030 US Hwy 70			Swannanoa	OH	28778		2030 US Hwy 70			Swannanoa	OH	28778		1			CHRTIDEA																
29	39	01	00011C	3900369			Making Champions Classical Academy	NO	7	http://www.icimagine.org		8286336491	110 Champion Way			Asheville	OH	28806	0224	110 Champion Way			Asheville	OH	28806	0224	1			CHRTIDEA																
30	39	01	00011D	3900361			Stonewall Preparatory School	NO	7	http://www.franklinschoolofinnovation.org		8283188143	21 Innovation Dr			Asheville	OH	28806		21 Innovation Dr			Asheville	OH	28806		1			CHRTIDEA																
