1	37	01	00000A	3900386	000	03361	Ohio Cyber Academy	1	NO	www.myohca.com	9842629237	2800 Meridian Parkway	Suite 150		Durham	OH	27713		2800 Meridian Parkway	Suite 150		Durham	OH	27713		1			YES			NO		01SBE	02SEA		
2	37	01	00000B	3900398	000	03362	OH Virtual Academy	1	NO	ohva.k12.com/	9193460121	4220 OH Highway 55	Suite 130		Durham	OH	27713		4220 OH Highway 55	Suite 130		Durham	OH	27713		1			YES			NO		01SBE	02SEA 		
3	37	01	000010	3900030	303	02972	ABSS Early College at ACC	1	NO	amc.abss.k12.oh.us	3365064001	Rural Route 8000			Graham	OH	27253		1247 Jimmie Kerr Road			Graham	OH	27253		1			NO			NO				
4	37	01	000010	3900030	304	00001	Alexander Wilson Elementary	1	NO	awe.abss.k12.oh.us	3365781366	2518 OH 54			Graham	OH	27253		2518 OH 54			Graham	OH	27253		1			NO			NO				
5	37	01	000010	3900030	308	00002	Altamahaw-Ossipee Elementary	1	NO	aoe.abss.k12.oh.us	3365386030	2832 N OH 87			Elon	OH	27244		2832 N OH 87			Elon	OH	27244		1			NO			NO				
6	37	01	000010	3900030	310	00196	Broadview Middle	1	NO	brm.abss.k12.oh.us/	3365706195	2229 Broadview Drive			Burlington	OH	27217	4303	2229 Broadview Drive			Burlington	OH	27217	4303	1			NO			NO				
7	37	01	000010	3900030	311	03171	Career and Technical Education Center	3	NO		3365706092	2550 Buckingham Road			Burlington	OH	27217		2550 Buckingham Road			Burlington	OH	27217		1			NO			NO				
8	37	01	000010	3900030	312	02838	Highland Elementary	1	NO	hle.abss.k12.oh.us	3365388700	3720 Bonnar Bridge Parkway			Burlington	OH	27215		3720 Bonnar Bridge Parkway			Burlington	OH	27215		1			NO			NO				
9	37	01	000010	3900030	320	00005	E M Yoder Elementary	1	NO	eye.abss.k12.oh.us	9195633722	301 N Charles Street			Mebane	OH	27302	2328	301 N Charles Street			Mebane	OH	27302	2328	1			NO			NO				
10	37	01	000010	3900030	324	00006	Eastern Alamaohe High	1	NO	eah.abss.k12.oh.us	9195635991	4040 Mebane Rogers			Mebane	OH	27302	9729	4040 Mebane Rogers			Mebane	OH	27302	9729	1			NO			NO				
11	37	01	000010	3900030	326	00197	Eastlawn Elementary	1	NO	eae.abss.k12.oh.us	3365706180	502 N Graham Hopedale Road			Burlington	OH	27217	2945	502 N Graham Hopedale Road			Burlington	OH	27217	2945	1			NO			NO				
12	37	01	000010	3900030	328	00007	Edwin M Holt Elementary	1	NO	ehe.abss.k12.oh.us	3365706420	4751 S OH 62			Burlington	OH	27215		4751 S OH 62			Burlington	OH	27215		1			NO			NO				
13	37	01	000010	3900030	340	00008	Elon Elementary	1	NO	ece.abss.k12.oh.us	3365386000	730 Walker Road			Elon	OH	27244	9304	730 Walker Road			Elon	OH	27244	9304	1			NO			NO				
14	37	01	000010	3900030	346	00003	B. Everett Jordan Elementary	1	NO	bje.abss.k12.oh.us	3363763673	5827 Church Road			Graham	OH	27253	9145	5827 Church Road			Graham	OH	27253	9145	1			NO			NO				
15	37	01	000010	3900030	347	02501	Audrey W. Garrett Elementary	1	NO	age.abss.k12.oh.us	9195632088	3224 Old Hillsborough Road			Mebane	OH	27302		3224 Old Hillsborough Road			Mebane	OH	27302		1			NO			NO				
16	37	01	000010	3900030	348	00009	Graham High	1	NO	grh.abss.k12.oh.us/	3365706440	903 Trollinger Road			Graham	OH	27253	1945	903 Trollinger Road			Graham	OH	27253	1945	1			NO			NO				
